Id,Label,in_strength,out_strength,out_degree,degree,in_degree_centrality,b,out_degree_centrality,size,closeness_centrality,strength,g,betweenness_centrality,in_degree,page_rank,r,degree_centrality,y,x
n9588,SMOCK,0.013513514,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013513514,153,0.0,1,2.91074156924E-5,153,9.41974378297E-5,295.13568,41.792603
n2379,JUSTICE,0.639110652,0.83561644,15,32,0.0016013564431,153,0.00141296156745,10.0,0.00798712177921,1.474727092,153,2.30324493535E-4,17,1.81764048236E-4,153,0.00301431801055,8.580048,-213.4461
n2378,JUST,0.119159015,0.759740257,19,22,2.82592313489E-4,153,0.00178975131876,10.0,0.00741939116463,0.878899272,153,3.15124372564E-4,3,3.6641341717E-5,153,0.00207234363225,-218.6846,-275.81537
n3589,REJOICE,0.01369863,0.866666688,18,19,9.41974378297E-5,153,0.00169555388093,10.0,0.00750595962153,0.880365318,153,1.62225469709E-4,1,2.92099313883E-5,153,0.00178975131876,42.924805,-396.2853
n2098,HERO,1.502753161,0.750000007,18,42,0.00226073850791,153,0.00169555388093,10.0,0.00785441523285,2.252753168,153,4.13368351294E-4,24,1.03794173896E-4,153,0.00395629238885,154.57642,209.83875
n2099,HEROIN,0.033557046,0.769736847,13,14,9.41974378297E-5,153,0.00122456669179,10.0,0.00785666398354,0.803293893,153,1.05777998957E-5,1,3.01571579987E-5,153,0.00131876412962,72.74664,211.16473
n4487,THICKET,0.0,0.64864865,16,16,0.0,153,0.00150715900528,10.0,0.00776650742488,0.64864865,153,0.0,0,2.87345249016E-5,153,0.00150715900528,448.11993,-163.51602
n943,CONQUER,0.36271207,0.763888883,18,30,0.00113036925396,153,0.00169555388093,10.0,0.00780373725444,1.126600953,153,5.49788248774E-4,12,6.2599721798E-5,153,0.00282592313489,341.4688,65.918884
n4706,UNIFORM,0.207136123,0.703125,20,30,9.41974378297E-4,153,0.00188394875659,10.0,0.00761231325715,0.910261123,153,5.03643484129E-4,10,5.81959981312E-5,153,0.00282592313489,418.976,19.064514
n766,CHIMNEY,0.200268449,0.915584413,14,17,2.82592313489E-4,153,0.00131876412962,10.0,0.0079431575999,1.115852862,153,9.63626921708E-5,3,3.71724109193E-5,153,0.0016013564431,-311.35913,227.35706
n765,CHIME,0.053172313,0.860000004,9,11,1.88394875659E-4,153,8.47776940467E-4,10.0,0.00830563050134,0.913172317,153,4.5496963142E-5,2,3.03813280411E-5,153,0.00103617181613,184.02997,37.444275
n3588,REJECT,0.460535097,0.614864868,18,35,0.0016013564431,153,0.00169555388093,10.0,0.00723875913157,1.075399965,153,3.16766061307E-4,17,5.95967792952E-5,153,0.00329691032404,-485.56152,-325.09155
n940,CONFUSION,0.704198178,0.558620687,29,50,0.00197814619442,153,0.00273172569706,10.0,0.00680510350671,1.262818865,153,0.00113298708195,21,1.08283873869E-4,153,0.00470987189148,125.249756,-170.94736
n763,CHILI,0.086756155,0.919463086,17,21,3.76789751319E-4,153,0.0016013564431,10.0,0.00767319958693,1.006219241,153,2.94936038032E-4,4,3.52725000309E-5,153,0.00197814619442,300.8733,-144.77112
n762,CHILDREN,2.319882491,0.82857144,17,58,0.00386209495102,153,0.0016013564431,10.0,0.00754768502867,3.148453931,153,8.84169186585E-4,41,1.92687500017E-4,153,0.00546345139412,-413.84024,-389.18112
n945,CONSCIENCE,0.069457569,0.810810814,20,22,1.88394875659E-4,153,0.00188394875659,10.0,0.00796930728076,0.880268383,153,2.32266419047E-4,2,3.80082758865E-5,153,0.00207234363225,147.74908,35.224182
n760,CHILD,5.595039916,0.797979793,15,116,0.0095139412208,153,0.00141296156745,10.0,0.0072805362122,6.393019709,153,6.02091564702E-4,101,0.00114592002515,153,0.0109269027882,-360.9025,-43.299133
n8988,Q-TIP,0.046139771,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.046139771,153,0.0,2,3.38198269971E-5,153,1.88394875659E-4,-400.2525,209.63776
n8989,QUAD,0.013157895,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013157895,153,0.0,1,3.19194922563E-5,153,9.41974378297E-5,-305.65125,50.58313
n8982,PUT BACK,0.039473683,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.039473683,153,0.0,1,3.0333391233E-5,153,9.41974378297E-5,387.91522,-322.34155
n8983,PUT ON,0.024502525,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.024502525,153,0.0,2,3.2851581109E-5,153,1.88394875659E-4,-392.7976,175.76178
n8980,PUSS,0.046950998,0.0,0,3,2.82592313489E-4,153,0.0,10.0,0.0,0.046950998,153,0.0,3,3.11518956235E-5,153,2.82592313489E-4,363.78278,408.3454
n8981,PUSSY,0.011111111,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.011111111,153,0.0,1,3.8705939444E-5,153,9.41974378297E-5,484.45795,114.72345
n8986,PYTHAGOREAN,0.033783782,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.033783782,153,0.0,1,3.0006865011E-5,153,9.41974378297E-5,211.63922,-416.56564
n8987,PYTHON,0.012121212,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.012121212,153,0.0,1,3.17277663836E-5,153,9.41974378297E-5,-205.50604,-351.4525
n8984,PUTTY,0.124029309,0.0,0,3,2.82592313489E-4,153,0.0,10.0,0.0,0.124029309,153,0.0,3,3.5722257328E-5,153,2.82592313489E-4,239.7998,192.18811
n8985,PYRE,0.013513514,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013513514,153,0.0,1,3.05161047183E-5,153,9.41974378297E-5,-481.68463,385.40918
n1871,GERM,0.275864073,0.892307716,16,22,5.65184626978E-4,153,0.00150715900528,10.0,0.00795423708943,1.168171789,153,3.72148652875E-4,6,5.10489760337E-5,153,0.00207234363225,110.44885,-206.31256
n1870,GEORGE,0.260663734,0.78231293,14,18,3.76789751319E-4,153,0.00131876412962,10.0,0.00777263217365,1.042976664,153,1.20757299481E-4,4,1.81247355725E-4,153,0.00169555388093,506.78668,-7.093933
n1873,GEYSER,0.0,0.698412723,13,13,0.0,153,0.00122456669179,10.0,0.00729232437636,0.698412723,153,0.0,0,2.87345249016E-5,153,0.00122456669179,226.61938,-361.76788
n1872,GET,1.942539529,0.816666683,23,51,0.00263752825923,153,0.00216654107008,10.0,0.00708631338434,2.759206212,153,4.0353152983E-4,28,3.63452464411E-4,153,0.00480406932931,-392.2238,-23.836212
n1875,GHOST,2.899532747,0.830303028,24,55,0.00292012057272,153,0.00226073850791,10.0,0.00763841176992,3.729835775,153,0.00198304907567,31,1.9069033302E-4,153,0.00518085908063,-435.1491,-208.97574
n1874,GHETTO,0.199081652,0.773333355,20,23,2.82592313489E-4,153,0.00188394875659,10.0,0.00768936891723,0.972415007,153,3.69832540649E-4,3,3.69286279608E-5,153,0.00216654107008,-37.813995,-260.4953
n1877,GIANT,0.15062305,0.819444471,17,23,5.65184626978E-4,153,0.0016013564431,10.0,0.0070131657317,0.970067521,153,1.96128560734E-4,6,7.86237237341E-5,153,0.00216654107008,-283.81747,92.763245
n1876,GHOUL,0.078248236,0.801324478,7,9,1.88394875659E-4,153,6.59382064808E-4,10.0,0.00754657812377,0.879572714,153,2.98166171557E-6,2,3.69587486382E-5,153,8.47776940467E-4,344.1316,500.69147
n1879,GIFTED,0.104113915,0.864864862,13,16,2.82592313489E-4,153,0.00122456669179,10.0,0.00708913433151,0.968978777,153,1.58365282667E-4,3,3.3834233083E-5,153,0.00150715900528,-144.16553,-435.52786
n1878,GIFT,1.5027448635,0.929487168,16,49,0.00310851544838,153,0.00150715900528,10.0,0.00743659206803,2.4322320315,153,0.00165473351221,33,3.31418101794E-4,153,0.00461567445365,175.7652,197.5506
n10186,TUCK,0.11764706,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.11764706,153,0.0,1,3.32424200985E-5,153,9.41974378297E-5,-366.326,412.22107
n10187,TUITION,0.039473683,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.039473683,153,0.0,1,3.00298559143E-5,153,9.41974378297E-5,-459.47986,280.0255
n10180,TROUBLED,0.020689655,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.020689655,153,0.0,1,2.97158626463E-5,153,9.41974378297E-5,-368.0421,380.1527
n10181,TROVE,0.015873017,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.015873017,153,0.0,1,2.95010447563E-5,153,9.41974378297E-5,-106.291534,-476.2302
n10182,TRULY,0.088435374,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.088435374,153,0.0,1,4.71278259502E-5,153,9.41974378297E-5,-73.94586,-289.73553
n10183,TRUTHFULNESS,0.07106599,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.07106599,153,0.0,1,3.15145317893E-5,153,9.41974378297E-5,-76.32211,231.41766
n6470,DISCLAIM,0.013157895,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013157895,153,0.0,1,2.92271689397E-5,153,9.41974378297E-5,130.9107,48.96216
n6471,DISCOLOR,0.016129032,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.016129032,153,0.0,1,2.93402787693E-5,153,9.41974378297E-5,36.289307,-350.83655
n6472,DISCOLORATION,0.013888889,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013888889,153,0.0,1,2.99206102558E-5,153,9.41974378297E-5,-103.0311,-120.61844
n6473,DISCONNECT,0.119654006,0.0,0,3,2.82592313489E-4,153,0.0,10.0,0.0,0.119654006,153,0.0,3,3.58402438344E-5,153,2.82592313489E-4,236.14905,-300.5899
n6474,DISCONTINUE,0.01369863,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.01369863,153,0.0,1,2.97335852487E-5,153,9.41974378297E-5,-145.42245,459.9538
n6475,DISCOUNT,0.040744102,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.040744102,153,0.0,2,3.2410043179E-5,153,1.88394875659E-4,295.61633,50.96582
n6476,DISCOURTEOUS,0.014814815,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.014814815,153,0.0,1,3.1198715418E-5,153,9.41974378297E-5,-472.51276,-316.47937
n6477,DISCREPANCY,0.01010101,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.01010101,153,0.0,1,2.90829439641E-5,153,9.41974378297E-5,354.73645,48.94275
n6478,DISCRETE,0.046663292,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.046663292,153,0.0,2,3.09554006425E-5,153,1.88394875659E-4,-250.14474,-59.74707
n6479,DISCRIMINATE,0.054463421,0.0,0,3,2.82592313489E-4,153,0.0,10.0,0.0,0.054463421,153,0.0,3,3.15043611561E-5,153,2.82592313489E-4,-366.84338,-316.2155
n2307,INTERRUPT,0.07236842,0.775510201,11,12,9.41974378297E-5,153,0.00103617181613,10.0,0.00762649541182,0.847878621,153,8.90593957663E-5,1,3.18293417476E-5,153,0.00113036925396,216.1023,-252.37132
n2304,INTEREST,0.267766393,0.609589045,22,29,6.59382064808E-4,153,0.00207234363225,10.0,0.00727328408698,0.877355438,153,2.03010342462E-4,7,4.12146733377E-5,153,0.00273172569706,364.02032,215.42773
n4489,THIGH,0.141765483,0.886524823,11,15,3.76789751319E-4,153,0.00103617181613,10.0,0.00763021328216,1.028290306,153,1.20349095793E-4,4,5.58670516908E-5,153,0.00141296156745,174.237,265.2705
n1295,DISH,1.117179299,0.878787859,15,35,0.00188394875659,153,0.00141296156745,10.0,0.007703177037,1.995967158,153,2.57390172798E-4,20,1.97661549028E-4,153,0.00329691032404,-402.79437,141.03894
n1294,DISGUSTING,0.782344894,0.765517243,14,32,0.00169555388093,153,0.00131876412962,10.0,0.00712872602257,1.547862137,153,4.12063874293E-4,18,2.05385454802E-4,153,0.00301431801055,415.04443,-151.539
n1297,DISHONEST,0.440470911,0.82876712,15,30,0.00141296156745,153,0.00141296156745,10.0,0.00741923525452,1.269238031,153,5.12144769615E-4,15,1.0570386044E-4,153,0.00282592313489,296.44574,20.154785
n1296,DISHES,0.952839694,0.909722229,19,31,0.00113036925396,153,0.00178975131876,10.0,0.00773488883113,1.862561923,153,5.52401639772E-4,12,9.10800667827E-5,153,0.00292012057272,289.9193,-324.79816
n1291,DISGRACE,0.108037228,0.75634519,17,19,1.88394875659E-4,153,0.0016013564431,10.0,0.00784054833501,0.864382418,153,3.67374444532E-4,2,3.82989094019E-5,153,0.00178975131876,-328.5514,448.69293
n1290,DISEASE,2.504560523,0.777777801,12,43,0.00292012057272,153,0.00113036925396,10.0,0.00757596234912,3.282338324,153,5.94735024338E-4,31,2.12198185999E-4,153,0.00405048982668,191.77826,381.01978
n1293,DISGUST,0.151012511,0.701388891,20,28,7.53579502638E-4,153,0.00188394875659,10.0,0.0072285365677,0.852401402,153,8.21039598952E-4,8,3.71799668269E-5,153,0.00263752825923,-430.43427,-448.1872
n1292,DISGUISE,0.110955708,0.804054056,15,18,2.82592313489E-4,153,0.00141296156745,10.0,0.00811260551973,0.915009764,153,1.09354218217E-4,3,3.5782638061E-5,153,0.00169555388093,94.26697,406.02002
n2305,INTERESTING,0.140261825,0.707483009,20,25,4.70987189148E-4,153,0.00188394875659,10.0,0.00760379865991,0.847744834,153,8.29026192833E-4,5,7.25904356874E-5,153,0.00235493594574,345.232,123.93579
n1299,DISINTEGRATE,0.173313243,0.598684202,18,24,5.65184626978E-4,153,0.00169555388093,10.0,0.00776710158954,0.771997445,153,1.28868129266E-4,6,3.60261119858E-5,153,0.00226073850791,-18.978271,182.10895
n1298,DISHWASHER,0.02739726,0.790849699,18,19,9.41974378297E-5,153,0.00169555388093,10.0,0.00770264217269,0.818246959,153,1.6416887422E-6,1,2.96599890573E-5,153,0.00178975131876,144.15692,203.94092
n4488,THIEF,2.416436075,0.890909079,11,43,0.00301431801055,153,0.00103617181613,10.0,0.00735448454423,3.307345154,153,4.92639732559E-4,32,2.97804551303E-4,153,0.00405048982668,149.63806,450.12964
n6554,DOILIES,0.01923077,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.01923077,153,0.0,1,3.12524893241E-5,153,9.41974378297E-5,143.7475,395.2845
n6553,DOGS,0.038265003,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.038265003,153,0.0,2,3.41263411309E-5,153,1.88394875659E-4,-273.67133,-147.99313
n4767,VAST,0.114774172,0.728571444,18,22,3.76789751319E-4,153,0.00169555388093,10.0,0.00748737841477,0.843345616,153,2.71899151682E-4,4,4.16009508857E-5,153,0.00207234363225,458.26715,-63.394165
n6552,DOG FOOD,0.02027027,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.02027027,153,0.0,1,2.9422400594E-5,153,9.41974378297E-5,-248.2915,-136.38245
n6551,DOESN'T,0.014285714,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.014285714,153,0.0,1,3.01428419707E-5,153,9.41974378297E-5,-113.89978,-86.52533
n4554,TONGUE,0.646466898,0.865771791,13,25,0.00113036925396,153,0.00122456669179,10.0,0.00775425181108,1.512238689,153,3.34580602658E-4,12,1.73188509042E-4,153,0.00235493594574,-61.05548,303.07123
n6550,DOER,0.08219178,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.08219178,153,0.0,1,3.43157764062E-5,153,9.41974378297E-5,42.59796,-371.432
n1206,DEPTH,0.146445231,0.909722215,17,24,6.59382064808E-4,153,0.0016013564431,10.0,0.00737683541652,1.056167446,153,5.12570721289E-4,7,5.21698003293E-5,153,0.00226073850791,-344.34348,-293.16833
n1207,DEPUTY,0.16666667,0.949999984,9,10,9.41974378297E-5,153,8.47776940467E-4,10.0,0.00732010600503,1.116666654,153,4.45208238899E-5,1,3.77751022712E-5,153,9.41974378297E-4,-262.3255,-455.42252
n4764,VARY,0.014084507,0.755555563,11,12,9.41974378297E-5,153,0.00103617181613,10.0,0.00768565250507,0.76964007,153,2.48853391338E-4,1,2.92374878435E-5,153,0.00113036925396,381.14307,-48.341553
n1204,DEPRESSED,0.425634506,0.824324299,10,25,0.00141296156745,153,9.41974378297E-4,10.0,0.00717705530838,1.249958805,153,3.23279572316E-4,15,3.20462205247E-4,153,0.00235493594574,-394.9482,10.339355
n1123,DAIRY,0.054545455,0.922077926,13,16,2.82592313489E-4,153,0.00122456669179,10.0,0.00781062147501,0.976623381,153,1.8543096193E-4,3,6.38007650239E-5,153,0.00150715900528,481.33398,345.12122
n1122,DAILY,0.522248439,0.804195815,18,26,7.53579502638E-4,153,0.00169555388093,10.0,0.00794945679499,1.326444254,153,5.65237870937E-4,8,5.56065342867E-5,153,0.00244913338357,-409.67654,-76.28171
n1121,DAGGER,0.493097153,0.88832484,10,13,2.82592313489E-4,153,9.41974378297E-4,10.0,0.00788138704193,1.381421993,153,9.01775189096E-5,3,4.87360158252E-5,153,0.00122456669179,-344.11902,-480.39917
n1120,DAD,1.483346534,0.882758639,5,29,0.00226073850791,153,4.70987189148E-4,10.0,0.00623277757402,2.366105173,153,2.32072670195E-4,24,6.73899891179E-4,153,0.00273172569706,194.0166,-339.44058
n1127,DAMN,0.134598606,0.726027405,18,24,5.65184626978E-4,153,0.00169555388093,10.0,0.00749665855857,0.860626011,153,3.67134846716E-4,6,6.50916773647E-5,153,0.00226073850791,-310.114,-327.1618
n1126,DAMAGE,0.217431301,0.696551726,19,27,7.53579502638E-4,153,0.00178975131876,10.0,0.00757834079226,0.913983027,153,3.59352354679E-4,8,7.27109152904E-5,153,0.0025433308214,395.12714,236.60468
n1125,DAM,0.317030651,0.838926164,11,14,2.82592313489E-4,153,0.00103617181613,10.0,0.00744139883928,1.155956815,153,6.98738224655E-5,3,4.41972463196E-5,153,0.00131876412962,219.19574,-84.72522
n1124,DAISY,0.105146836,0.837837848,8,12,3.76789751319E-4,153,7.53579502638E-4,10.0,0.00756468018027,0.942984684,153,1.35426010242E-4,4,9.06540778391E-5,153,0.00113036925396,-53.16638,159.99915
n1202,DEPLETION,0.07482993,0.607843154,23,24,9.41974378297E-5,153,0.00216654107008,10.0,0.00734715856396,0.682673084,153,4.49822715364E-5,1,3.18665072293E-5,153,0.00226073850791,-227.31378,424.12732
n1129,DANCE,3.48077376,0.695945941,19,81,0.00584024114544,153,0.00178975131876,10.0,0.00759537136631,4.176719701,153,0.00186516694998,62,5.24055369446E-4,153,0.0076299924642,443.53894,265.09882
n1128,DAMP,0.291847527,0.885869556,19,25,5.65184626978E-4,153,0.00178975131876,10.0,0.00742717002075,1.177717083,153,6.95463721164E-4,6,8.14654711954E-5,153,0.00235493594574,41.964172,193.19916
